produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,custom_data
1765440689167,CameraCapture,-2910330649971625320,frame_captured,54110365,{"width":1536, "height":864}
1765440689234,CameraCapture,-2910330649971625320,frame_captured,54110432,{"width":1536, "height":864}
1765440689301,CameraCapture,-2910330649971625320,frame_captured,54110499,{"width":1536, "height":864}
1765440689368,CameraCapture,-2910330649971625320,frame_captured,54110566,{"width":1536, "height":864}
1765440689435,CameraCapture,-2910330649971625320,frame_captured,54110633,{"width":1536, "height":864}
1765440689501,CameraCapture,-2910330649971625320,frame_captured,54110700,{"width":1536, "height":864}
1765440689570,CameraCapture,-2910330649971625320,frame_captured,54110767,{"width":1536, "height":864}
1765440689636,CameraCapture,-2910330649971625320,frame_captured,54110834,{"width":1536, "height":864}
1765440689703,CameraCapture,-2910330649971625320,frame_captured,54110902,{"width":1536, "height":864}
1765440689770,CameraCapture,-2910330649971625320,frame_captured,54110969,{"width":1536, "height":864}
1765440689838,CameraCapture,-2910330649971625320,frame_captured,54111036,{"width":1536, "height":864}
1765440689905,CameraCapture,-2910330649971625320,frame_captured,54111103,{"width":1536, "height":864}
1765440689972,CameraCapture,-2910330649971625320,frame_captured,54111170,{"width":1536, "height":864}
1765440690002,CameraCapture,-9018811509794563686,PerformanceMetrics,0,{"p50_latency_ms":0.000,"p95_latency_ms":0.000,"p99_latency_ms":547139359232.000,"average_fps":1500.000,"total_frames_processed":228,"average_latency_ms":0.667}
1765440690038,CameraCapture,-2910330649971625320,frame_captured,54111237,{"width":1536, "height":864}
1765440690106,CameraCapture,-2910330649971625320,frame_captured,54111304,{"width":1536, "height":864}
1765440690173,CameraCapture,-2910330649971625320,frame_captured,54111371,{"width":1536, "height":864}
1765440690240,CameraCapture,-2910330649971625320,frame_captured,54111438,{"width":1536, "height":864}
1765440690307,CameraCapture,-2910330649971625320,frame_captured,54111505,{"width":1536, "height":864}
1765440690374,CameraCapture,-2910330649971625320,frame_captured,54111573,{"width":1536, "height":864}
1765440690443,CameraCapture,-2910330649971625320,frame_captured,54111640,{"width":1536, "height":864}
1765440690509,CameraCapture,-2910330649971625320,frame_captured,54111707,{"width":1536, "height":864}
1765440690575,CameraCapture,-2910330649971625320,frame_captured,54111774,{"width":1536, "height":864}
1765440690644,CameraCapture,-2910330649971625320,frame_captured,54111841,{"width":1536, "height":864}
1765440690710,CameraCapture,-2910330649971625320,frame_captured,54111908,{"width":1536, "height":864}
1765440690777,CameraCapture,-2910330649971625320,frame_captured,54111975,{"width":1536, "height":864}
1765440690843,CameraCapture,-2910330649971625320,frame_captured,54112042,{"width":1536, "height":864}
1765440690911,CameraCapture,-2910330649971625320,frame_captured,54112109,{"width":1536, "height":864}
1765440690978,CameraCapture,-2910330649971625320,frame_captured,54112176,{"width":1536, "height":864}
1765440691046,CameraCapture,-2910330649971625320,frame_captured,54112243,{"width":1536, "height":864}
1765440691112,CameraCapture,-2910330649971625320,frame_captured,54112311,{"width":1536, "height":864}
1765440691180,CameraCapture,-2910330649971625320,frame_captured,54112378,{"width":1536, "height":864}
1765440691247,CameraCapture,-2910330649971625320,frame_captured,54112445,{"width":1536, "height":864}
1765440691314,CameraCapture,-2910330649971625320,frame_captured,54112512,{"width":1536, "height":864}
1765440691381,CameraCapture,-2910330649971625320,frame_captured,54112579,{"width":1536, "height":864}
1765440691448,CameraCapture,-2910330649971625320,frame_captured,54112646,{"width":1536, "height":864}
1765440691515,CameraCapture,-2910330649971625320,frame_captured,54112713,{"width":1536, "height":864}
1765440691582,CameraCapture,-2910330649971625320,frame_captured,54112780,{"width":1536, "height":864}
1765440691648,CameraCapture,-2910330649971625320,frame_captured,54112847,{"width":1536, "height":864}
1765440691717,CameraCapture,-2910330649971625320,frame_captured,54112914,{"width":1536, "height":864}
1765440691783,CameraCapture,-2910330649971625320,frame_captured,54112982,{"width":1536, "height":864}
1765440691851,CameraCapture,-2910330649971625320,frame_captured,54113049,{"width":1536, "height":864}
1765440691917,CameraCapture,-2910330649971625320,frame_captured,54113116,{"width":1536, "height":864}
1765440691985,CameraCapture,-2910330649971625320,frame_captured,54113183,{"width":1536, "height":864}
1765440692052,CameraCapture,-2910330649971625320,frame_captured,54113250,{"width":1536, "height":864}
1765440692119,CameraCapture,-2910330649971625320,frame_captured,54113317,{"width":1536, "height":864}
1765440692185,CameraCapture,-2910330649971625320,frame_captured,54113384,{"width":1536, "height":864}
1765440692253,CameraCapture,-2910330649971625320,frame_captured,54113451,{"width":1536, "height":864}
1765440692320,CameraCapture,-2910330649971625320,frame_captured,54113518,{"width":1536, "height":864}
1765440692387,CameraCapture,-2910330649971625320,frame_captured,54113585,{"width":1536, "height":864}
1765440692455,CameraCapture,-2910330649971625320,frame_captured,54113653,{"width":1536, "height":864}
1765440692522,CameraCapture,-2910330649971625320,frame_captured,54113720,{"width":1536, "height":864}
1765440692589,CameraCapture,-2910330649971625320,frame_captured,54113787,{"width":1536, "height":864}
1765440692656,CameraCapture,-2910330649971625320,frame_captured,54113854,{"width":1536, "height":864}
1765440692722,CameraCapture,-2910330649971625320,frame_captured,54113921,{"width":1536, "height":864}
